city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Abatao,1.405226518,173.1174458,Kiribati,KI,,primary,28802,28802
Anchorage Island,-13.24890212,-163.1046782,Kiribati,KI,,,17356,17356
Arorae,-2.639436212,176.8240933,Kiribati,KI,,,6568,6568
Banaba Island,-0.85676632,169.5359828,Kiribati,KI,,,6073,6073
Beru,-1.326821173,175.9907864,Kiribati,KI,,,3524,3524
Butaritari Atoll,3.1530346,172.8008486,Kiribati,KI,,,1899,1899
Christmas Island,1.858286559,-157.3652686,Kiribati,KI,,,853,853
Flint Island,-11.42957761,-151.8195232,Kiribati,KI,,,404,404
Jarvis Island,-0.373061326,-159.9977113,Kiribati,KI,,,322,322
Makin,3.379838566,172.9925421,Kiribati,KI,,,312,312
Malden Island,-4.016757654,-154.9290539,Kiribati,KI,,,151,151
Manra Island,-4.455236426,-171.2443595,Kiribati,KI,,,147,147
Millennium Island,-9.963845817,-150.2117815,Kiribati,KI,,,,
Motu Ko,-10.91046886,-165.8402013,,,,,,
Nikumaroro,-4.674392194,-174.523083,,,,,,
Nikunau,-1.345511367,176.4475808,,,,,,
Oneeke,0.255755986,173.3953603,,,,,,
Onotoa,-1.847324127,175.5704163,,,,,,
Orona,-4.5101561,-172.1752686,,,,,,
South Tarawa,1.36383579,173.1101663,,,,,,
Starbuck Island (Volunteer Island),-5.639704387,-155.8811231,,,,,,
Tabiteuea,-1.282422573,174.7978071,,,,,,
Takutea,-19.81228227,-158.2886893,,,,,,
Tamana,-2.499005217,175.9826218,,,,,,
Te Au O Tu,-19.26577981,-158.9237874,,,,,,
Tekaeang,0.179443902,173.5580301,,,,,,
Tekopua,-18.92955413,-159.7300724,,,,,,
Teraina Island,4.683802406,-160.379946,,,,,,
Tetaha Kiraro,-10.01176307,-161.0981534,,,,,,
Vostok Island,-10.062291,-152.3124633,,,,,,
