island,lat,lng,Population
Abatao,1.405226518,173.1174458,5815
Anchorage,-13.24890212,-163.1046782,
Arorae,-2.639436212,176.8240933,994
Banaba,-0.85676632,169.5359828,333
Beru,-1.326821173,175.9907864,2214
Butaritari,3.1530346,172.8008486,3250
Kirimati,1.858286559,-157.3652686,7369
Flint,-11.42957761,-151.8195232,
Jarvis Island,-0.373061326,-159.9977113,
Makin,3.379838566,172.9925421,3250
Malden Island,-4.016757654,-154.9290539,
Manra Island,-4.455236426,-171.2443595,
Millennium Island,-9.963845817,-150.2117815,
Motu Ko,-10.91046886,-165.8402013,
Nikumaroro,-4.674392194,-174.523083,
Nikunau,-1.345511367,176.4475808,2055
Oneeke,0.255755986,173.3953603,
Onotoa,-1.847324127,175.5704163,1417
Orona,-4.5101561,-172.1752686,
South_Tarawa,1.36383579,173.1101663,70090
Starbuck,-5.639704387,-155.8811231,
Tabiteuea,-1.282422573,174.7978071,5537
Takutea,-19.81228227,-158.2886893,
Tamana,-2.499005217,175.9826218,1028
Tekaeang,0.179443902,173.5580301,
Tekopua,-18.92955413,-159.7300724,
Teraina,4.683802406,-160.379946,1893
Tetaha_Kiraro,-10.01176307,-161.0981534,
Vostok,-10.062291,-152.3124633,
